GEOID,GEOID11,16+_emp_rate,16+_uemp_rate,uemp_rate,med_hhinc,pop,pct_white,pct_black,pct_asian,pct_other,tol_hu,med_value,pct_noins,pct_poverty,city,metro,med_rent
1400000US06037242700,6037242700,58.5,5.6,8.8,42978,5945,41.6,21,0.9,36.5,100,347.5,14.6,29,,,1083
1400000US06037243000,6037243000,55,9.2,14.3,50619,7379,35.7,15.3,0.6,48.5,100,278.6,16.3,23.6,,,1568
1400000US06037243100,6037243100,46,6,11.5,24833,6490,35,34.1,0.1,30.8,100,291.8,13.4,43.1,,,831
1400000US06037261101,6037261101,64.1,2.1,3.1,238125,3555,90.4,1,6.1,2.5,150,2000,8.1,5.8,,,3066
1400000US06037261102,6037261102,52.5,2.9,5.2,154063,3695,89.3,2.4,5.7,2.7,150,2000,1.3,4.8,,,2250
1400000US06037261200,6037261200,61.7,2.8,4.3,191250,4341,87.9,0.2,9.6,2.3,150,1385.2,4.5,6.3,,,2035
1400000US06037262100,6037262100,56.3,1.1,2,176875,2844,79.5,0.7,12.8,6.9,100,2000,4.5,5.3,,,2683
1400000US06037262200,6037262200,59.4,3,4.8,210417,4779,79.3,3.5,9.1,8.1,150,2000,1,2.3,,,2143
1400000US06037262301,6037262301,50.2,1.7,3.2,248269,2749,79.3,2.3,12.4,6,150,2000,1.2,10.4,,,0
1400000US06037262302,6037262302,58.1,2.1,3.5,168125,2976,88.1,0.8,6.9,4.2,100,2000,0.6,4.2,,,2250
